palabra,freq,diario,por_noticia
muerte,97,todonoticias,0.09594
ciudad,72,paginadoce,0.09562
política,72,paginadoce,0.09562
triunfo,919,popular,0.09559
dinero,128,clarin,0.09531
Estados,128,clarin,0.09531
Quemas,1205,infobae,0.09523
dólar,444,lanacion,0.0952
pandemia,1203,infobae,0.09507
vacunación,443,lanacion,0.09498
marzo,96,todonoticias,0.09496
APUESTA,912,popular,0.09486
actividad,36,eldestape,0.09474
jefe,36,eldestape,0.09474
hecho,36,eldestape,0.09474
mercado,36,eldestape,0.09474
medio,67,perfil,0.09463
pelota,909,popular,0.09455
actividad,76,ambito,0.09418
estadio,95,todonoticias,0.09397
vacunatorio,126,clarin,0.09382
ministro,897,popular,0.0933
Maradona,66,perfil,0.09322
jugador,59,telam,0.09321
hijo,59,telam,0.09321
región,59,telam,0.09321
ley,59,telam,0.09321
punto,59,telam,0.09321
juego,125,clarin,0.09308
policía,70,paginadoce,0.09296
género,70,paginadoce,0.09296
número,124,clarin,0.09233
amigo,124,clarin,0.09233
familia,35,eldestape,0.09211
aumento,35,eldestape,0.09211
chico,93,todonoticias,0.09199
programa,93,todonoticias,0.09199
causa,93,todonoticias,0.09199
franja,429,lanacion,0.09198
prisión,65,perfil,0.09181
cambio,65,perfil,0.09181
situación,74,ambito,0.0917
jugador,69,paginadoce,0.09163
aumento,69,paginadoce,0.09163
estadio,879,popular,0.09143
paciente,92,todonoticias,0.091
dosis,424,lanacion,0.09091
gente,122,clarin,0.09084
dosis,64,perfil,0.0904
México,68,paginadoce,0.09031
acuerdo,91,todonoticias,0.09001
fiscal,91,todonoticias,0.09001
hijo,34,eldestape,0.08947
programa,34,eldestape,0.08947
protocolo,34,eldestape,0.08947
padre,34,eldestape,0.08947
cargo,120,clarin,0.08935
fin,72,ambito,0.08922
respecto,415,lanacion,0.08898
final,67,paginadoce,0.08898
hombre,67,paginadoce,0.08898
club,67,paginadoce,0.08898
obra,63,perfil,0.08898
proyecto,119,clarin,0.08861
punto,119,clarin,0.08861
zona,56,telam,0.08847
protocolo,56,telam,0.08847
Sputnik,56,telam,0.08847
minuto,89,todonoticias,0.08803
momento,71,ambito,0.08798
cosa,118,clarin,0.08786
hecho,66,paginadoce,0.08765
funcionario,62,perfil,0.08757
proyecto,62,perfil,0.08757
actor,408,lanacion,0.08748
